"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",5130.59774663369
"2","member","Sunday",953.256339982654
"3","casual","Monday",4752.05043820426
"4","member","Monday",822.311201666214
"5","casual","Tuesday",4561.80385720148
"6","member","Tuesday",769.441628768344
"7","casual","Wednesday",4491.26826722338
"8","member","Wednesday",711.998167580138
"9","casual","Thursday",9547.90456362425
"10","member","Thursday",702.338793191838
"11","casual","Friday",6021.47946540443
"12","member","Friday",801.658240115184
"13","casual","Saturday",4967.79231126238
"14","member","Saturday",988.225274238423
